code_quartier_prioritaire,code_academie,nbre_eleves_ulis,effectifs_filles,effectifs_garcons
QP069042,10,12,55,45
QP069042,10,12,55,45
QP069042,10,14,55,45
QP027005,70,12,68,84
QP027005,70,13,68,84
QP027005,70,12,68,84
QP027005,70,13,68,84
QP050001,70,0,38,34
QP050001,70,11,38,34
QP050001,70,14,38,34
QP050001,70,13,38,34
QP050004,70,13,51,51
QP050004,70,14,51,51
QP050004,70,12,51,51
QP050004,70,14,51,51
QP061005,70,11,60,53
QP061005,70,10,60,53
QP061005,70,12,60,53
QP061005,70,11,60,53
QP076016,70,0,37,39
QP076016,70,0,37,39
QP076016,70,0,37,39
QP076016,70,0,37,39
QP076019,70,12,57,75
QP076019,70,12,57,75
QP076019,70,14,57,75
QP076019,70,12,57,75
QP024002,04,13,68,72
QP024002,04,14,68,72
QP024002,04,13,68,72
QP024002,04,10,68,72
QP087003,22,12,39,68
QP087003,22,10,39,68
QP087003,22,12,39,68
QP087003,22,10,39,68
QP016004,13,0,74,80
QP016004,13,0,74,80
QP016004,13,0,74,80
QP016004,13,11,74,80
QP017003,13,13,103,101
QP017003,13,14,103,101
QP017003,13,12,103,101
QP017003,13,12,103,101
QP079003,13,13,58,85
QP079003,13,22,58,85
QP079003,13,28,58,85
QP079003,13,24,58,85
QP011004,11,0,51,49
QP011004,11,0,51,49
QP011004,11,0,51,49
QP011004,11,0,51,49
QP011006,11,16,86,94
QP011006,11,26,86,94
QP011006,11,22,86,94
QP011006,11,27,86,94
QP011010,11,22,85,85
QP011010,11,23,85,85
QP011010,11,27,85,85
QP011010,11,22,85,85
QP030018,11,12,55,65
QP030018,11,12,55,65
QP030018,11,12,55,65
QP030018,11,12,55,65
QP009003,16,12,73,72
QP009003,16,13,73,72
QP009003,16,11,73,72
QP009003,16,13,73,72
QP046001,16,10,86,67
QP046001,16,10,86,67
QP046001,16,11,86,67
QP046001,16,11,86,67
QP044019,17,10,78,73
QP044019,17,10,78,73
QP044019,17,9,78,73
QP044019,17,9,78,73
QP049012,17,23,53,79
QP049012,17,24,53,79
QP049012,17,24,53,79
QP049012,17,24,53,79
QP053001,17,21,64,58
QP053001,17,25,64,58
QP053001,17,22,64,58
QP053001,17,26,64,58
QP004001,02,13,81,92
QP004001,02,13,81,92
QP004001,02,12,81,92
QP004001,02,12,81,92
QP013006,02,11,127,145
QP013006,02,8,127,145
QP013006,02,13,127,145
QP013006,02,14,127,145
QP013062,02,13,64,66
QP013062,02,14,64,66
QP013062,02,14,64,66
QP013062,02,13,64,66
QP084013,02,13,93,94
QP084013,02,11,93,94
QP084013,02,11,93,94
QP084013,02,11,93,94
QP083019,23,13,104,119
QP083019,23,12,104,119
QP083019,23,11,104,119
QP083019,23,14,104,119
QP083012,23,22,65,69
QP083012,23,23,65,69
QP083012,23,20,65,69
QP083012,23,21,65,69
QP090001,03,0,69,56
QP090001,03,12,69,56
QP090001,03,11,69,56
QP090001,03,0,69,56
QP071007,07,0,51,68
QP071007,07,0,51,68
QP071007,07,0,51,68
QP071007,07,0,51,68
QP089004,07,12,46,45
QP089004,07,10,46,45
QP089004,07,12,46,45
QP089004,07,0,46,45
QP036003,18,0,39,50
QP036003,18,0,39,50
QP036003,18,0,39,50
QP036003,18,0,39,50
QP037007,18,0,39,38
QP037007,18,0,39,38
QP037007,18,0,39,38
QP037007,18,0,39,38
QP041002,18,12,85,79
QP041002,18,12,85,79
QP041002,18,12,85,79
QP041002,18,12,85,79
QP067007,15,0,70,82
QP067007,15,13,70,82
QP067007,15,15,70,82
QP067007,15,1,70,82
QP060014,20,22,84,92
QP060014,20,13,84,92
QP060014,20,24,84,92
QP060014,20,19,84,92
QP059041,09,0,93,94
QP059041,09,0,93,94
QP059041,09,0,93,94
QP059041,09,0,93,94
QP059081,09,12,69,76
QP059081,09,11,69,76
QP059081,09,12,69,76
QP059081,09,12,69,76
QP077004,24,13,66,78
QP077004,24,13,66,78
QP077004,24,13,66,78
QP077004,24,13,66,78
QP077024,24,13,77,65
QP077024,24,13,77,65
QP077024,24,13,77,65
QP077024,24,13,77,65
QP093044,24,0,84,127
QP093044,24,0,84,127
QP093044,24,0,84,127
QP093044,24,0,84,127
QP094042,24,6,54,50
QP094042,24,0,54,50
QP094042,24,11,54,50
QP094042,24,1,54,50
QP092021,25,11,82,74
QP092021,25,11,82,74
QP092021,25,10,82,74
QP092021,25,13,82,74
QP092001,25,7,85,95
QP092001,25,12,85,95
QP092001,25,11,85,95
QP092001,25,8,85,95
QP095001,25,20,69,72
QP095001,25,20,69,72
QP095001,25,20,69,72
QP095001,25,20,69,72
QP095021,25,1,64,96
QP095021,25,11,64,96
QP095021,25,14,64,96
QP095021,25,10,64,96
QP095037,25,11,60,56
QP095037,25,12,60,56
QP095037,25,13,60,56
QP095037,25,12,60,56
QP095037,25,16,82,81
QP095037,25,14,82,81
QP095037,25,15,82,81
QP095037,25,17,82,81
QP061005,70,11,44,57
QP061005,70,10,44,57
QP061005,70,12,44,57
QP061005,70,11,44,57
QP076027,70,0,69,67
QP076027,70,0,69,67
QP076027,70,0,69,67
QP076027,70,0,69,67
QP076003,70,0,38,68
QP076003,70,0,38,68
QP076003,70,12,38,68
QP076003,70,14,38,68
QP076008,70,0,43,39
QP076008,70,0,43,39
QP076008,70,0,43,39
QP076008,70,0,43,39
QP024005,04,13,45,52
QP024005,04,0,45,52
QP024005,04,9,45,52
QP024005,04,6,45,52
QP011004,11,0,87,101
QP011004,11,0,87,101
QP011004,11,0,87,101
QP011004,11,0,87,101
QP066001,11,12,117,111
QP066001,11,15,117,111
QP066001,11,15,117,111
QP066001,11,13,117,111
QP012002,16,24,89,95
QP012002,16,24,89,95
QP012002,16,23,89,95
QP012002,16,23,89,95
QP031003,16,12,58,50
QP031003,16,17,58,50
QP031003,16,15,58,50
QP031003,16,13,58,50
QP004001,02,13,100,92
QP004001,02,13,100,92
QP004001,02,12,100,92
QP004001,02,12,100,92
QP013006,02,11,117,128
QP013006,02,8,117,128
QP013006,02,13,117,128
QP013006,02,14,117,128
QP084013,02,13,90,89
QP084013,02,11,90,89
QP084013,02,11,90,89
QP084013,02,11,90,89
QP084007,02,0,55,81
QP084007,02,0,55,81
QP084007,02,0,55,81
QP084007,02,0,55,81
QP006012,23,0,66,81
QP006012,23,13,66,81
QP006012,23,12,66,81
QP006012,23,0,66,81
QP026012,08,0,55,60
QP026012,08,0,55,60
QP026012,08,0,55,60
QP026012,08,0,55,60
QP001007,10,17,103,96
QP001007,10,13,103,96
QP001007,10,15,103,96
QP001007,10,12,103,96
QP042002,10,13,137,125
QP042002,10,13,137,125
QP042002,10,12,137,125
QP042002,10,13,137,125
QP070003,03,9,74,83
QP070003,03,10,74,83
QP070003,03,9,74,83
QP070003,03,11,74,83
QP090001,03,13,33,35
QP090001,03,12,33,35
QP090001,03,12,33,35
QP090001,03,12,33,35
QP021004,07,10,58,72
QP021004,07,8,58,72
QP021004,07,9,58,72
QP021004,07,6,58,72
QP089004,07,0,52,64
QP089004,07,0,52,64
QP089004,07,0,52,64
QP089004,07,0,52,64
QP035006,14,11,47,43
QP035006,14,14,47,43
QP035006,14,12,47,43
QP035006,14,13,47,43
QP007001,08,0,64,74
QP007001,08,7,64,74
QP007001,08,12,64,74
QP007001,08,13,64,74
QP038014,08,14,56,54
QP038014,08,14,56,54
QP038014,08,15,56,54
QP038014,08,13,56,54
QP042005,10,13,101,106
QP042005,10,13,101,106
QP042005,10,13,101,106
QP042005,10,13,101,106
QP050002,70,12,48,44
QP050002,70,13,48,44
QP050002,70,14,48,44
QP050002,70,14,48,44
QP076008,70,0,41,39
